source_year,filename,bytes,sha256,source_commit
2025,20026701.pdf,71061,8963f63f514fbc5b607669c9c6f729db90f1d923b5459a73599f401ef90ed814,510945b2b1d600dd90b183858b86419926b81e65
2025,20026706.pdf,65968,1a979dd8e274485063a1610b382759c9479796b3744149aec16bcc3f06734554,510945b2b1d600dd90b183858b86419926b81e65
2025,20026712.pdf,76250,dc3e01a64213c286b80fbbf4bcecb7db6a63a9f494683827cea961f0b0e15ab0,510945b2b1d600dd90b183858b86419926b81e65
2025,20026724.pdf,66741,2e639ecaa310362debaa727658c23e5891bb3b4eee860c8b72f793e9185ab6a8,510945b2b1d600dd90b183858b86419926b81e65
2025,20026726.pdf,140098,5db9ebcd1fe9eaabc80914e56a3d6365ca9a7f98cdf16e3279d0d14c4e4b9e87,510945b2b1d600dd90b183858b86419926b81e65
2025,20026727.pdf,89319,e034208f56244c403d1b4c47dfb41b3c1b08be65cc2421eaf6c11b4e91c6f76c,510945b2b1d600dd90b183858b86419926b81e65
2025,20026731.pdf,82639,75d7b77f28f86cdff02b660af2d7c8253452efc15988fc607f096aeb55db4ad1,510945b2b1d600dd90b183858b86419926b81e65
2025,20026732.pdf,140339,d9833ffc31df86f1991ee88052376df18db626c6d3f35aaa38b33335b5396b54,510945b2b1d600dd90b183858b86419926b81e65
2025,20026736.pdf,65496,da2fb327eba8d9665a85ec321f9c4b135a52badf14cb22640be0d7c5bbe17a94,510945b2b1d600dd90b183858b86419926b81e65
2025,20026750.pdf,63355,32c7d67dc58e52e565e70e2edec021fa5bc5f01237366d7888f4818886ec53a0,510945b2b1d600dd90b183858b86419926b81e65
2025,20026754.pdf,66324,2be1d4f51efe365f45f7e155ab406f75ba3e5b4789f5ef85b4ce2b539030d7e2,510945b2b1d600dd90b183858b86419926b81e65
2025,20026756.pdf,75707,34c52397515dfc08247f453f0448e3215c191ca3e29d4cf22edf44496c9ec2df,510945b2b1d600dd90b183858b86419926b81e65
2025,20026762.pdf,114051,a871c9cb48af991b4e8a97ab01af4d7a82432d442ca134c1ee605ff12c1c282f,510945b2b1d600dd90b183858b86419926b81e65
2025,20026770.pdf,65359,ec1acf44f0d247ddc4a16b6e3ebe34eedf607775036de7035b8545cb2fcbd43e,510945b2b1d600dd90b183858b86419926b81e65
2025,20026774.pdf,64704,03ef14785fb120c7bb5dfe1030fd6de2be1f31aef4a5640c86c01267a848501c,510945b2b1d600dd90b183858b86419926b81e65
2025,20026791.pdf,71678,70fc0a7a033f0f70004e81d43d7ba11df94d2fa3d5d54bbdb315370699263677,510945b2b1d600dd90b183858b86419926b81e65
2025,20026792.pdf,67555,72f05e92655a5412d650271c5f13592bcde3d369f9185105d2b479055b7e04b3,510945b2b1d600dd90b183858b86419926b81e65
2025,20026794.pdf,66315,0aeab13bd5e3bb26bec981c05a5d46a662b55ba58d66e69aaf635431e5987860,510945b2b1d600dd90b183858b86419926b81e65
2025,20026796.pdf,83991,fad50e3a37c9e519d31aa9687d0cc80caa027828fdb68b13e659025257076248,510945b2b1d600dd90b183858b86419926b81e65
2025,20026802.pdf,67996,9290cf797f9c05446c301ef993e06946fdc372b2fcbcd102e5f73831a0852ca6,510945b2b1d600dd90b183858b86419926b81e65
2025,20027805.pdf,67133,5f3c8ea6dca5ff8be795bbd9350954e8f05423b8666a8443eaf33d3d42085564,510945b2b1d600dd90b183858b86419926b81e65
2025,20027807.pdf,63609,e954d54f8da245335533693ed4a7a4c50f86b40efca3631cbc32fea038136409,510945b2b1d600dd90b183858b86419926b81e65
2025,20027810.pdf,63073,f9604fe7805e56df5bf465f5dc12beca887bdf611d0fdec76c894106e6c407e8,510945b2b1d600dd90b183858b86419926b81e65
2025,20027820.pdf,61449,ed0117cc7ce0be31cbbedf9cc0519ba79fc3b7c70ef0c16849e3904552f019fc,510945b2b1d600dd90b183858b86419926b81e65
2025,20027834.pdf,66053,6b14e0eb716ff1f06b51bcf489422d4399d44342e11f405107bdca4967ba5d85,510945b2b1d600dd90b183858b86419926b81e65
2025,20027837.pdf,77483,415e46aa3669382e3ab97dc8019dfcb7f29c9a9cc5b376bb54a28e016318a871,510945b2b1d600dd90b183858b86419926b81e65
2025,20027838.pdf,66920,fd7c192d3e49063486cb5f37b0c75e4769d11c8fa24bb1a2689a80869642068a,510945b2b1d600dd90b183858b86419926b81e65
2025,20027845.pdf,68431,d7e110ff84f533d2f0050785f47bef01ab5158a7e793c3b069a617b9cd8afa9c,510945b2b1d600dd90b183858b86419926b81e65
2025,20027846.pdf,66315,d8ae2b808123ace7ee77c7ff37d03e2657d7a49040f7184a2e63f65fbb70d239,510945b2b1d600dd90b183858b86419926b81e65
2025,20027855.pdf,64405,4dd806a65b4328bbd6ae976cd09fd09c8188f07b0599a5ebb1de7fdef67a2fe3,510945b2b1d600dd90b183858b86419926b81e65
2025,20027867.pdf,66420,084938ecfb2bd1e7335b715c6896b81681bd7cbb459bb6b63e35c8c9e48a4b79,510945b2b1d600dd90b183858b86419926b81e65
2025,20027876.pdf,63521,0cc95830e990dfa030c474e8048a1ffe9e5d43cb1a1c0b2e9552fc5922fbc99b,510945b2b1d600dd90b183858b86419926b81e65
2025,20027879.pdf,132187,08abac5787097562a096079f6fe7e903eb94edd207d8e58b7f3a36c3b4091c6a,510945b2b1d600dd90b183858b86419926b81e65
2025,20027885.pdf,74035,587a700c3a1fd796432ce273b81e8a6bbe653b64ba43dc570baac5dcb00b3a8f,510945b2b1d600dd90b183858b86419926b81e65
2025,20027891.pdf,111509,07dda88cbaa7779d98b59cfe03fa14348af2467ede8219c6799f947fae6697a9,510945b2b1d600dd90b183858b86419926b81e65
2025,20027895.pdf,64838,477eaa40d9ab8ab2091ea19091ff67346104a401213e7acbe234d6d8e67bdfa4,510945b2b1d600dd90b183858b86419926b81e65
2025,20027896.pdf,65350,a52129db10f6b49a2ae7c591a97efea353daf13669e233f828f8195b801afc6a,510945b2b1d600dd90b183858b86419926b81e65
2025,20027900.pdf,65001,a09e4d68c45c9f56f6d7053f70ae0b6fa521b929c21849a5816260b7cfea0fbe,510945b2b1d600dd90b183858b86419926b81e65
2025,20027901.pdf,124767,bb13d16bae984af6f5e1e92a53c9f50d9cd22e13c21b3511e23d90e86147fbab,510945b2b1d600dd90b183858b86419926b81e65
2025,20027903.pdf,70846,8bb2ea9ef4d6a2d068afddd1b256c5b7149923808b473fa68cd387a687cb6cce,510945b2b1d600dd90b183858b86419926b81e65
2025,20027907.pdf,66220,369f886d8d39676d86d4e32fe015818f08c738467c15adf730edbcc135eb44ae,510945b2b1d600dd90b183858b86419926b81e65
2025,20027911.pdf,65659,1fc184a2d1af6022387c11bc078cb3aa0d2c41d5a2aee0d4035bb70942d2cffe,510945b2b1d600dd90b183858b86419926b81e65
2025,20027912.pdf,62590,911cea63bb381f0b671faff4396d97d9ac3c8cbeeee40e804d456cb10b650eae,510945b2b1d600dd90b183858b86419926b81e65
2025,20027913.pdf,65441,7c53ee08dd084bd1d6882698610d691c0252d8b34c7535b6571a4a413ff19311,510945b2b1d600dd90b183858b86419926b81e65
2025,20027916.pdf,84936,2673600bf3ba34924b13b43e9534e029a791a2fca1033a3708c5aa17f57ca974,510945b2b1d600dd90b183858b86419926b81e65
2025,20027923.pdf,75575,aed36a53aef0775529c2937b39906f057ccdc025ade63406114458c823dde56d,510945b2b1d600dd90b183858b86419926b81e65
2025,20027927.pdf,65960,decda87eb1992b3468a72e2df95d1667257bce77630b2fa59f66470b1dede606,510945b2b1d600dd90b183858b86419926b81e65
2025,20027931.pdf,71210,a058548a77abb2c377a745b85fb0ddb18c916ac6924fb7eed143dc326a28055c,510945b2b1d600dd90b183858b86419926b81e65
2025,20027932.pdf,66926,24ff75022129b9233d55f2684278881b5aa7599ba9f09f7c61a97fbb9bb79e27,510945b2b1d600dd90b183858b86419926b81e65
2025,20027933.pdf,67106,0dee0499dbc8b100e878cdda4eea56145af234219451a43877e34081a3fd8192,510945b2b1d600dd90b183858b86419926b81e65
2025,20027935.pdf,64155,2d99c624dd5f62cebe5f87b3c10489139c577bdcf7451cd2dea2540bd93282c4,510945b2b1d600dd90b183858b86419926b81e65
2025,20027936.pdf,113350,a62b716a517eced2fa08ca214bf97f167884897282dba2587dffecbbadc1ad39,510945b2b1d600dd90b183858b86419926b81e65
2025,20027937.pdf,65337,c6830da9eead47ddc12a906f8d5262379f56e8e80a1f0eba89e76598b2963a48,510945b2b1d600dd90b183858b86419926b81e65
2025,20027940.pdf,72217,da49898a2cfe5b76e60aab2e73a416a52da57602e4dff16a837140c48c5ed736,510945b2b1d600dd90b183858b86419926b81e65
2025,20027944.pdf,81683,e1dfdd9cc3c2055940be61a331a2657a779050bcc4d4ada1f11c68c0013a1ca6,510945b2b1d600dd90b183858b86419926b81e65
2025,20027950.pdf,64748,3d432209e5ecc0159a5cb8bfddf568dd124f1257301c5ff9ba964a6d1c1055d8,510945b2b1d600dd90b183858b86419926b81e65
2025,20027951.pdf,64182,e7c3a09af443484c6eddd8b4e943fa20a26ddee2cf4cf5a678a05c6906b6b567,510945b2b1d600dd90b183858b86419926b81e65
2025,20027961.pdf,62547,f9fe4660f520c7739e7275b02d7ad78025ac4d70a1c87d8428ea4d19ba424ee7,510945b2b1d600dd90b183858b86419926b81e65
2025,20027962.pdf,62195,0b64006862dd66dae723e8de578f7c6e1c783c12dfc8170182330dea885a0f13,510945b2b1d600dd90b183858b86419926b81e65
2025,20027975.pdf,93408,5cd096bea9b0559bd36cd0aa698deac49221e379252fe0dcbc6aa1e751eea867,510945b2b1d600dd90b183858b86419926b81e65
2025,20027982.pdf,115863,67250ec13b09b97ca82a384fdf4b3f120531e81d8e326b514633a41d9bc7abbf,510945b2b1d600dd90b183858b86419926b81e65
2025,20027995.pdf,75760,8cf20217f3264018337b2c13a73925fdf02e176ae40539fc339221120abdf187,510945b2b1d600dd90b183858b86419926b81e65
2025,20027999.pdf,62831,cb76eb05abf88786e7d2638d31ac1e40b262ba78e873205427c4d5ab86a85f8b,510945b2b1d600dd90b183858b86419926b81e65
2025,20028002.pdf,73607,7ee193fbf805b4c38c7d4315649a1140fcaea9c3379fc55e192442b4642d52e1,510945b2b1d600dd90b183858b86419926b81e65
