filing_id,politician,member_status,state_district,source_pdf,source_year,transaction_number_in_filing,owner,asset_v8_2_cleaned,asset_v8_1,ticker_v8_2_cleaned,ticker_v8_1,asset_type,transaction_type,transaction_date,notification_date,amount_min,amount_max,amount_exact,amount_category,amount_status,filing_status,subholding,location,description,comments,page,last_page,page_parse_method,page_recovery_used,filing_page_completeness_issue,suspected_missed_pages,page_continuation_used,duplicate_geometry_rows_merged,possible_adjacent_same_signature,row_shaded,geometry_quality_score,unicode_repair_applied,unicode_repair_count,needs_review,original_pdf_url,review_level,review_reason,owner_raw,asset_raw,asset_lookup_context,transaction_type_raw,transaction_date_raw,notification_date_raw,amount_raw,continuation_raw,detail_raw,review_reason_v8_1,review_level_v8_1,needs_review_v8_1,geometry_quality_score_v8_1,ticker_candidate_raw,ticker_parse_status,ticker_validation_source,ticker_changed,asset_changed_by_ticker_resolver,raw_date_has_extra_text,raw_date_prefix,date_prefix_disagrees,amount_exact_before_p2,amount_status_before_p2
20032248,Hon. Gilbert Cisneros,Member,CA31,20032248.pdf,2025,1,,AJINOMOTO CO INC,AJINOMOTO CO INC,AJINF,AJINF,ST,P,2025-09-30,2025-10-08,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,150 Main Street Trust > Bank of America,,Ticker 2802 JP,,1,1,table,False,False,,False,0,False,False,100,True,30,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032248.pdf,,,,AJINOMOTO CO INC (AJINF) [ST] Filing Status: New Subholding Of: 150 Main Street Trust > Description: Ticker 2802 JP,AJINOMOTO CO INC (AJINF) [ST],P Bank of America,09/30/2025 a,10/08/2025,"$1,001 - $15,000",,"AJINOMOTO CO INC (AJINF) [ST] P 09/30/2025 10/08/2025 $1,001 - $15,000 Filing Status: New Subholding Of: 150 Main Street Trust > Bank of America Description: Ticker 2802 JP",,,False,100,AJINF,accepted,house_ptr_structure+v8_1,False,False,True,09/30/2025,False,,valid_range
20032248,Hon. Gilbert Cisneros,Member,CA31,20032248.pdf,2025,2,,Amdocs Limited - Ordinary Shares,Amdocs Limited - Ordinary Shares,DOX,DOX,ST,S (partial),2025-09-22,2025-10-08,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,150 Main Street Trust > Bank of America,,,,1,1,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032248.pdf,,,,Amdocs Limited - Ordinary Shares (DOX) [ST],Amdocs Limited - Ordinary Shares (DOX) [ST],S (partial),09/22/2025,10/08/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: 150 Main Street Trust > Bank of America,"Amdocs Limited - Ordinary Shares (DOX) [ST] S (partial) 09/22/2025 10/08/2025 $1,001 - $15,000 Filing Status: New Subholding Of: 150 Main Street Trust > Bank of America",,,False,100,DOX,accepted,house_ptr_structure+v8_1,False,False,False,09/22/2025,False,,valid_range
20032248,Hon. Gilbert Cisneros,Member,CA31,20032248.pdf,2025,3,,Amdocs Limited - Ordinary Shares,Amdocs Limited - Ordinary Shares,DOX,DOX,ST,S (partial),2025-09-30,2025-10-08,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,150 Main Street Trust > Bank of America,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032248.pdf,,,,Amdocs Limited - Ordinary Shares (DOX) [ST] Filing Status: New Subholding Of: 150 Main Street Trust >,Amdocs Limited - Ordinary Shares (DOX) [ST],S (partial) Bank of America,09/30/2025 a,10/08/2025,"$1,001 - $15,000",,"Amdocs Limited - Ordinary Shares (DOX) [ST] S (partial) 09/30/2025 10/08/2025 $1,001 - $15,000 Filing Status: New Subholding Of: 150 Main Street Trust > Bank of America",,,False,100,DOX,accepted,house_ptr_structure+v8_1,False,False,True,09/30/2025,False,,valid_range
20032248,Hon. Gilbert Cisneros,Member,CA31,20032248.pdf,2025,4,,Amdocs Limited - Ordinary Shares,Amdocs Limited - Ordinary Shares,DOX,DOX,ST,S (partial),2025-10-01,2025-10-08,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,150 Main Street Trust > Bank of America,,,,1,1,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032248.pdf,,,,Amdocs Limited - Ordinary Shares (DOX) [ST],Amdocs Limited - Ordinary Shares (DOX) [ST],S (partial),10/01/2025,10/08/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: 150 Main Street Trust > Bank of America,"Amdocs Limited - Ordinary Shares (DOX) [ST] S (partial) 10/01/2025 10/08/2025 $1,001 - $15,000 Filing Status: New Subholding Of: 150 Main Street Trust > Bank of America",,,False,100,DOX,accepted,house_ptr_structure+v8_1,False,False,False,10/01/2025,False,,valid_range
20032248,Hon. Gilbert Cisneros,Member,CA31,20032248.pdf,2025,5,,Anaheim CA Elementary School District GO Bonds,Anaheim CA Elementary School District GO Bonds,,,GS,S,2025-09-30,2025-10-08,100001.0,250000.0,,"$100,001 - $250,000",valid_range,New,150 Main Street Trust > Bank of America,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032248.pdf,,,,Anaheim CA Elementary School District GO Bonds [GS] Filing Status: New Subholding Of: 150 Main Street Trust >,Anaheim CA Elementary School District GO Bonds [GS],S Bank of America,09/30/2025 a,10/08/2025,"$100,001 - $250,000",,"Anaheim CA Elementary School District GO Bonds [GS] S 09/30/2025 10/08/2025 $100,001 - $250,000 Filing Status: New Subholding Of: 150 Main Street Trust > Bank of America",,,False,100,,not_applicable,,False,False,True,09/30/2025,False,,valid_range
20032248,Hon. Gilbert Cisneros,Member,CA31,20032248.pdf,2025,6,,APi Group Corporation Common Stock,APi Group Corporation Common Stock,APG,APG,ST,P,2025-09-12,2025-10-08,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,150 Main Street Trust > Bank of America Type Date p Gains > $200?,,,,1,2,table,False,False,,True,0,False,True,98,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032248.pdf,,,,APi Group Corporation Common Stock (APG) [ST],APi Group Corporation Common Stock (APG) [ST],P,09/12/2025,10/08/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: 150 Main Street Trust > Bank of America Type Date p Gains > $200?,"APi Group Corporation Common Stock (APG) [ST] P 09/12/2025 10/08/2025 $1,001 - $15,000 Filing Status: New Subholding Of: 150 Main Street Trust > Bank of America Type Date p Gains > $200?",,,False,98,APG,accepted,house_ptr_structure+v8_1,False,False,False,09/12/2025,False,,valid_range
20032248,Hon. Gilbert Cisneros,Member,CA31,20032248.pdf,2025,7,,APi Group Corporation Common Stock,APi Group Corporation Common Stock,APG,APG,ST,P,2025-09-30,2025-10-08,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,150 Main Street Trust > Bank of America,,,,2,2,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032248.pdf,,,,APi Group Corporation Common Stock (APG) [ST] Filing Status: New Subholding Of: 150 Main Street Trust >,APi Group Corporation Common Stock (APG) [ST],P Bank of America,09/30/2025 a,10/08/2025,"$1,001 - $15,000",,"APi Group Corporation Common Stock (APG) [ST] P 09/30/2025 10/08/2025 $1,001 - $15,000 Filing Status: New Subholding Of: 150 Main Street Trust > Bank of America",,,False,100,APG,accepted,house_ptr_structure+v8_1,False,False,True,09/30/2025,False,,valid_range
20032248,Hon. Gilbert Cisneros,Member,CA31,20032248.pdf,2025,8,,"Aris Water Solutions, Inc. Class A Common Stock","Aris Water Solutions, Inc. Class A Common Stock",ARIS,ARIS,ST,S (partial),2025-09-17,2025-10-08,15001.0,50000.0,,"$15,001 - $50,000",valid_range,New,150 Main Street Trust > Wells Fargo Advisors,,,,2,2,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032248.pdf,,,,"Aris Water Solutions, Inc. Class A Common Stock (ARIS) [ST]","Aris Water Solutions, Inc. Class A Common Stock (ARIS) [ST]",S (partial),09/17/2025,10/08/2025,"$15,001 - $50,000",Filing Status: New Subholding Of: 150 Main Street Trust > Wells Fargo Advisors,"Aris Water Solutions, Inc. Class A Common Stock (ARIS) [ST] S (partial) 09/17/2025 10/08/2025 $15,001 - $50,000 Filing Status: New Subholding Of: 150 Main Street Trust > Wells Fargo Advisors",,,False,100,ARIS,accepted,house_ptr_structure+v8_1,False,False,False,09/17/2025,False,,valid_range
20032248,Hon. Gilbert Cisneros,Member,CA31,20032248.pdf,2025,9,,"Aris Water Solutions, Inc. Class A Common Stock","Aris Water Solutions, Inc. Class A Common Stock",ARIS,ARIS,ST,S,2025-09-26,2025-10-08,15001.0,50000.0,,"$15,001 - $50,000",valid_range,New,150 Main Street Trust > Wells Fargo Advisors,,,,2,2,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032248.pdf,,,,"Aris Water Solutions, Inc. Class A Common Stock (ARIS) [ST] Filing Status: New Subholding Of: 150 Main Street Trust >","Aris Water Solutions, Inc. Class A Common Stock (ARIS) [ST]",S Wells Fargo Advi,09/26/2025 isors,10/08/2025,"$15,001 - $50,000",,"Aris Water Solutions, Inc. Class A Common Stock (ARIS) [ST] S 09/26/2025 10/08/2025 $15,001 - $50,000 Filing Status: New Subholding Of: 150 Main Street Trust > Wells Fargo Advisors",,,False,100,ARIS,accepted,house_ptr_structure+v8_1,False,False,True,09/26/2025,False,,valid_range
20032248,Hon. Gilbert Cisneros,Member,CA31,20032248.pdf,2025,10,,"Bay Area Toll Authority, CA, Toll Bridge Revenue Bonds","Bay Area Toll Authority, CA, Toll Bridge Revenue Bonds",,,GS,S,2025-09-30,2025-10-08,500001.0,1000000.0,,"$500,001 - $1,000,000",valid_range,New,150 Main Street Trust > Bank of America,,,,2,2,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032248.pdf,,,,"Bay Area Toll Authority, CA, Toll Bridge Revenue Bonds [GS]","Bay Area Toll Authority, CA, Toll Bridge Revenue Bonds [GS]",S,09/30/2025,10/08/2025,"$500,001 - $1,000,000",Filing Status: New Subholding Of: 150 Main Street Trust > Bank of America,"Bay Area Toll Authority, CA, Toll Bridge Revenue Bonds [GS] S 09/30/2025 10/08/2025 $500,001 - $1,000,000 Filing Status: New Subholding Of: 150 Main Street Trust > Bank of America",,,False,100,,not_applicable,,False,False,False,09/30/2025,False,,valid_range
