filing_id,politician,member_status,state_district,source_pdf,source_year,transaction_number_in_filing,owner,asset_v8_2_cleaned,asset_v8_1,ticker_v8_2_cleaned,ticker_v8_1,asset_type,transaction_type,transaction_date,notification_date,amount_min,amount_max,amount_exact,amount_category,amount_status,filing_status,subholding,location,description,comments,page,last_page,page_parse_method,page_recovery_used,filing_page_completeness_issue,suspected_missed_pages,page_continuation_used,duplicate_geometry_rows_merged,possible_adjacent_same_signature,row_shaded,geometry_quality_score,unicode_repair_applied,unicode_repair_count,needs_review,original_pdf_url,review_level,review_reason,owner_raw,asset_raw,asset_lookup_context,transaction_type_raw,transaction_date_raw,notification_date_raw,amount_raw,continuation_raw,detail_raw,review_reason_v8_1,review_level_v8_1,needs_review_v8_1,geometry_quality_score_v8_1,ticker_candidate_raw,ticker_parse_status,ticker_validation_source,ticker_changed,asset_changed_by_ticker_resolver,raw_date_has_extra_text,raw_date_prefix,date_prefix_disagrees,amount_exact_before_p2,amount_status_before_p2
20033587,Hon. Suzan K. DelBene,Member,WA01,20033587.pdf,2025,1,JT,"New Jersey ST Transn TR FD Auth SYS BDS 5.00% Due Jun 15, 2035","New Jersey ST Transn TR FD Auth SYS BDS 5.00% Due Jun 15, 2035",,,GS,S,2025-11-18,2025-11-18,250001.0,500000.0,,"$250,001 - $500,000",valid_range,New,,,,,1,1,table,False,False,,False,0,False,False,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033587.pdf,,,JT,"New Jersey ST Transn TR FD Auth SYS BDS 5.00% Due Jun 15, 2035 [GS] Filing Status: New","New Jersey ST Transn TR FD Auth SYS BDS 5.00% Due Jun 15, 2035 [GS]",S,11/18/2025,11/18/2025,"$250,001 - $500,000",,"JT New Jersey ST Transn TR FD Auth SYS BDS 5.00% Due Jun 15, 2035 [GS] S 11/18/2025 11/18/2025 $250,001 - $500,000 Filing Status: New",,,False,100,,not_applicable,,False,False,False,11/18/2025,False,,valid_range
20033587,Hon. Suzan K. DelBene,Member,WA01,20033587.pdf,2025,2,JT,"Tarrant CNTY Tex Cultural Ed Facs Fin 5.00 % Due Nov 15, 2051","Tarrant CNTY Tex Cultural Ed Facs Fin 5.00 % Due Nov 15, 2051",,,GS,P,2025-11-19,2025-11-19,250001.0,500000.0,,"$250,001 - $500,000",valid_range,New,,,,,1,1,table,False,False,,False,0,False,True,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033587.pdf,,,JT,"Tarrant CNTY Tex Cultural Ed Facs Fin 5.00 % Due Nov 15, 2051 [GS]","Tarrant CNTY Tex Cultural Ed Facs Fin 5.00 % Due Nov 15, 2051 [GS]",P,11/19/2025,11/19/2025,"$250,001 - $500,000",Filing Status: New,"JT Tarrant CNTY Tex Cultural Ed Facs Fin 5.00 % Due Nov 15, 2051 [GS] P 11/19/2025 11/19/2025 $250,001 - $500,000 Filing Status: New",,,False,100,,not_applicable,,False,False,False,11/19/2025,False,,valid_range
20033587,Hon. Suzan K. DelBene,Member,WA01,20033587.pdf,2025,3,JT,TX Trans Commn TPK 5%42 TPK Tran Due 08/15/42,TX Trans Commn TPK 5%42 TPK Tran Due 08/15/42,,,GS,P,2025-11-18,2025-11-18,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,1,1,table,False,False,,False,0,False,False,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033587.pdf,,,JT,TX Trans Commn TPK 5%42 TPK Tran Due 08/15/42 [GS] Filing Status: New,TX Trans Commn TPK 5%42 TPK Tran Due 08/15/42 [GS],P,11/18/2025,11/18/2025,"$1,001 - $15,000",,"JT TX Trans Commn TPK 5%42 TPK Tran Due 08/15/42 [GS] P 11/18/2025 11/18/2025 $1,001 - $15,000 Filing Status: New",,,False,100,,not_applicable,,False,False,False,11/18/2025,False,,valid_range
20033587,Hon. Suzan K. DelBene,Member,WA01,20033587.pdf,2025,4,JT,"Washington ST MTR Veh Fuel Tax Related 5.00 % Due Aug 1, 2028","Washington ST MTR Veh Fuel Tax Related 5.00 % Due Aug 1, 2028",,,GS,P,2025-11-21,2025-11-21,15001.0,50000.0,,"$15,001 - $50,000",valid_range,New,,,,,1,1,table,False,False,,False,0,False,True,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033587.pdf,,,JT,"Washington ST MTR Veh Fuel Tax Related 5.00 % Due Aug 1, 2028 [GS]","Washington ST MTR Veh Fuel Tax Related 5.00 % Due Aug 1, 2028 [GS]",P,11/21/2025,11/21/2025,"$15,001 - $50,000",Filing Status: New,"JT Washington ST MTR Veh Fuel Tax Related 5.00 % Due Aug 1, 2028 [GS] P 11/21/2025 11/21/2025 $15,001 - $50,000 Filing Status: New",,,False,100,,not_applicable,,False,False,False,11/21/2025,False,,valid_range
