filing_id,politician,member_status,state_district,source_pdf,source_year,transaction_number_in_filing,owner,asset_v8_2_cleaned,asset_v8_1,ticker_v8_2_cleaned,ticker_v8_1,asset_type,transaction_type,transaction_date,notification_date,amount_min,amount_max,amount_exact,amount_category,amount_status,filing_status,subholding,location,description,comments,page,last_page,page_parse_method,page_recovery_used,filing_page_completeness_issue,suspected_missed_pages,page_continuation_used,duplicate_geometry_rows_merged,possible_adjacent_same_signature,row_shaded,geometry_quality_score,unicode_repair_applied,unicode_repair_count,needs_review,original_pdf_url,review_level,review_reason,owner_raw,asset_raw,asset_lookup_context,transaction_type_raw,transaction_date_raw,notification_date_raw,amount_raw,continuation_raw,detail_raw,review_reason_v8_1,review_level_v8_1,needs_review_v8_1,geometry_quality_score_v8_1,ticker_candidate_raw,ticker_parse_status,ticker_validation_source,ticker_changed,asset_changed_by_ticker_resolver,raw_date_has_extra_text,raw_date_prefix,date_prefix_disagrees,amount_exact_before_p2,amount_status_before_p2
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,1,DC,A.O. Smith Corporation Common Stock,A.O. Smith Corporation Common Stock,AOS,AOS,ST,S (partial),2025-03-06,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,1,1,table,False,False,,False,0,False,False,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,A.O. Smith Corporation Common Stock (AOS) [ST] Filing Status: New,A.O. Smith Corporation Common Stock (AOS) [ST],S (partial),03/06/2025,04/01/2025,"$1,001 - $15,000",,"DC A.O. Smith Corporation Common Stock (AOS) [ST] S (partial) 03/06/2025 04/01/2025 $1,001 - $15,000 Filing Status: New",,,False,100,AOS,accepted,house_ptr_structure+v8_1,False,False,False,03/06/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,2,DC,"BJ's Wholesale Club Holdings, Inc. Common Stock","BJ's Wholesale Club Holdings, Inc. Common Stock",BJ,BJ,ST,P,2025-03-17,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,1,1,table,False,False,,False,0,False,True,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,"BJ's Wholesale Club Holdings, Inc. Common Stock (BJ) [ST]","BJ's Wholesale Club Holdings, Inc. Common Stock (BJ) [ST]",P,03/17/2025,04/01/2025,"$1,001 - $15,000",Filing Status: New,"DC BJ's Wholesale Club Holdings, Inc. Common Stock (BJ) [ST] P 03/17/2025 04/01/2025 $1,001 - $15,000 Filing Status: New",,,False,100,BJ,accepted,house_ptr_structure+v8_1,False,False,False,03/17/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,3,DC,"BJ's Wholesale Club Holdings, Inc. Common Stock","BJ's Wholesale Club Holdings, Inc. Common Stock",BJ,BJ,ST,P,2025-03-14,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,1,1,table,False,False,,False,0,False,False,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,"BJ's Wholesale Club Holdings, Inc. Common Stock (BJ) [ST] Filing Status: New","BJ's Wholesale Club Holdings, Inc. Common Stock (BJ) [ST]",P,03/14/2025,04/01/2025,"$1,001 - $15,000",,"DC BJ's Wholesale Club Holdings, Inc. Common Stock (BJ) [ST] P 03/14/2025 04/01/2025 $1,001 - $15,000 Filing Status: New",,,False,100,BJ,accepted,house_ptr_structure+v8_1,False,False,False,03/14/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,4,DC,"Corpay, Inc. Common Stock","Corpay, Inc. Common Stock",CPAY,CPAY,ST,P,2025-03-13,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,1,1,table,False,False,,False,0,False,True,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,"Corpay, Inc. Common Stock (CPAY) [ST]","Corpay, Inc. Common Stock (CPAY) [ST]",P,03/13/2025,04/01/2025,"$1,001 - $15,000",Filing Status: New,"DC Corpay, Inc. Common Stock (CPAY) [ST] P 03/13/2025 04/01/2025 $1,001 - $15,000 Filing Status: New",,,False,100,CPAY,accepted,house_ptr_structure+v8_1,False,False,False,03/13/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,5,DC,"Dayforce, Inc. Common Stock","Dayforce, Inc. Common Stock",DAY,DAY,ST,S (partial),2025-03-18,2025-04-01,15001.0,50000.0,,"$15,001 - $50,000",valid_range,New,,,,,1,1,table,False,False,,False,0,False,False,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,"Dayforce, Inc. Common Stock (DAY) [ST] Filing Status: New","Dayforce, Inc. Common Stock (DAY) [ST]",S (partial),03/18/2025,04/01/2025,"$15,001 - $50,000",,"DC Dayforce, Inc. Common Stock (DAY) [ST] S (partial) 03/18/2025 04/01/2025 $15,001 - $50,000 Filing Status: New",,,False,100,DAY,accepted,house_ptr_structure+v8_1,False,False,False,03/18/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,6,DC,"IDEXX Laboratories, Inc. - Common Stock","IDEXX Laboratories, Inc. - Common Stock",IDXX,IDXX,ST,P,2025-03-14,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,1,1,table,False,False,,False,0,False,True,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,"IDEXX Laboratories, Inc. - Common Stock (IDXX) [ST]","IDEXX Laboratories, Inc. - Common Stock (IDXX) [ST]",P,03/14/2025,04/01/2025,"$1,001 - $15,000",Filing Status: New,"DC IDEXX Laboratories, Inc. - Common Stock (IDXX) [ST] P 03/14/2025 04/01/2025 $1,001 - $15,000 Filing Status: New",,,False,100,IDXX,accepted,house_ptr_structure+v8_1,False,False,False,03/14/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,7,DC,ITT Inc. Common Stock,ITT Inc. Common Stock,ITT,ITT,ST,P,2025-03-05,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,1,1,table,False,False,,False,0,False,False,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,ITT Inc. Common Stock (ITT) [ST] Filing Status: New,ITT Inc. Common Stock (ITT) [ST],P,03/05/2025,04/01/2025,"$1,001 - $15,000",,"DC ITT Inc. Common Stock (ITT) [ST] P 03/05/2025 04/01/2025 $1,001 - $15,000 Filing Status: New",,,False,100,ITT,accepted,house_ptr_structure+v8_1,False,False,False,03/05/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,8,DC,Jones Lang LaSalle Incorporated Common Stock,Jones Lang LaSalle Incorporated Common Stock,JLL,JLL,ST,P,2025-03-05,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,1,2,table,False,False,,True,0,False,True,98,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,Jones Lang LaSalle Incorporated Common Stock (JLL) [ST],Jones Lang LaSalle Incorporated Common Stock (JLL) [ST] ID Owner Asset Transaction Type Date Notification Date Amount Cap. Gains > $200?,P,03/05/2025,04/01/2025,"$1,001 - $15,000",ID Owner Asset Transaction Type Date Notification Date Amount Cap. Gains > $200? Filing Status: New,"DC Jones Lang LaSalle Incorporated Common Stock (JLL) [ST] P 03/05/2025 04/01/2025 $1,001 - $15,000 ID Owner Asset Transaction Type Date Notification Date Amount Cap. Gains > $200? Filing Status: New",,,False,98,JLL,accepted,house_ptr_structure+v8_1,False,False,False,03/05/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,9,DC,Jones Lang LaSalle Incorporated Common Stock,Jones Lang LaSalle Incorporated Common Stock,JLL,JLL,ST,P,2025-03-07,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,2,2,table,False,False,,False,0,False,False,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,Jones Lang LaSalle Incorporated Common Stock (JLL) [ST] Filing Status: New,Jones Lang LaSalle Incorporated Common Stock (JLL) [ST],P,03/07/2025,04/01/2025,"$1,001 - $15,000",,"DC Jones Lang LaSalle Incorporated Common Stock (JLL) [ST] P 03/07/2025 04/01/2025 $1,001 - $15,000 Filing Status: New",,,False,100,JLL,accepted,house_ptr_structure+v8_1,False,False,False,03/07/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,10,DC,Jones Lang LaSalle Incorporated Common Stock,Jones Lang LaSalle Incorporated Common Stock,JLL,JLL,ST,P,2025-03-10,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,2,2,table,False,False,,False,0,False,True,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,Jones Lang LaSalle Incorporated Common Stock (JLL) [ST],Jones Lang LaSalle Incorporated Common Stock (JLL) [ST],P,03/10/2025,04/01/2025,"$1,001 - $15,000",Filing Status: New,"DC Jones Lang LaSalle Incorporated Common Stock (JLL) [ST] P 03/10/2025 04/01/2025 $1,001 - $15,000 Filing Status: New",,,False,100,JLL,accepted,house_ptr_structure+v8_1,False,False,False,03/10/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,11,DC,Jones Lang LaSalle Incorporated Common Stock,Jones Lang LaSalle Incorporated Common Stock,JLL,JLL,ST,P,2025-03-14,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,2,2,table,False,False,,False,0,False,False,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,Jones Lang LaSalle Incorporated Common Stock (JLL) [ST] Filing Status: New,Jones Lang LaSalle Incorporated Common Stock (JLL) [ST],P,03/14/2025,04/01/2025,"$1,001 - $15,000",,"DC Jones Lang LaSalle Incorporated Common Stock (JLL) [ST] P 03/14/2025 04/01/2025 $1,001 - $15,000 Filing Status: New",,,False,100,JLL,accepted,house_ptr_structure+v8_1,False,False,False,03/14/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,12,DC,Markel Group Inc. Common Stock,Markel Group Inc. Common Stock,MKL,MKL,ST,P,2025-03-10,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,2,2,table,False,False,,False,0,False,True,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,Markel Group Inc. Common Stock (MKL) [ST],Markel Group Inc. Common Stock (MKL) [ST],P,03/10/2025,04/01/2025,"$1,001 - $15,000",Filing Status: New,"DC Markel Group Inc. Common Stock (MKL) [ST] P 03/10/2025 04/01/2025 $1,001 - $15,000 Filing Status: New",,,False,100,MKL,accepted,house_ptr_structure+v8_1,False,False,False,03/10/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,13,DC,Markel Group Inc. Common Stock,Markel Group Inc. Common Stock,MKL,MKL,ST,P,2025-03-07,2025-04-01,15001.0,50000.0,,"$15,001 - $50,000",valid_range,New,,,,,2,2,table,False,False,,False,0,False,False,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,Markel Group Inc. Common Stock (MKL) [ST] Filing Status: New,Markel Group Inc. Common Stock (MKL) [ST],P,03/07/2025,04/01/2025,"$15,001 - $50,000",,"DC Markel Group Inc. Common Stock (MKL) [ST] P 03/07/2025 04/01/2025 $15,001 - $50,000 Filing Status: New",,,False,100,MKL,accepted,house_ptr_structure+v8_1,False,False,False,03/07/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,14,DC,Markel Group Inc. Common Stock,Markel Group Inc. Common Stock,MKL,MKL,ST,P,2025-03-06,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,2,2,table,False,False,,False,0,False,True,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,Markel Group Inc. Common Stock (MKL) [ST],Markel Group Inc. Common Stock (MKL) [ST],P,03/06/2025,04/01/2025,"$1,001 - $15,000",Filing Status: New,"DC Markel Group Inc. Common Stock (MKL) [ST] P 03/06/2025 04/01/2025 $1,001 - $15,000 Filing Status: New",,,False,100,MKL,accepted,house_ptr_structure+v8_1,False,False,False,03/06/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,15,DC,Toro Company,Toro Company,TTC,TTC,ST,S (partial),2025-03-20,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,2,2,table,False,False,,False,0,False,False,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,Toro Company (TTC) [ST] Filing Status: New,Toro Company (TTC) [ST],S (partial),03/20/2025,04/01/2025,"$1,001 - $15,000",,"DC Toro Company (TTC) [ST] S (partial) 03/20/2025 04/01/2025 $1,001 - $15,000 Filing Status: New",,,False,100,TTC,accepted,house_ptr_structure+v8_1,False,False,False,03/20/2025,False,,valid_range
20029059,Hon. April McClain Delaney,Member,MD06,20029059.pdf,2025,16,DC,Viking Holdings Ltd Ordinary Shares,Viking Holdings Ltd Ordinary Shares,VIK,VIK,ST,P,2025-03-05,2025-04-01,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,,,,,2,2,table,False,False,,False,0,False,True,100,True,10,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029059.pdf,,,DC,Viking Holdings Ltd Ordinary Shares (VIK) [ST],Viking Holdings Ltd Ordinary Shares (VIK) [ST],P,03/05/2025,04/01/2025,"$1,001 - $15,000",Filing Status: New,"DC Viking Holdings Ltd Ordinary Shares (VIK) [ST] P 03/05/2025 04/01/2025 $1,001 - $15,000 Filing Status: New",,,False,100,VIK,accepted,house_ptr_structure+v8_1,False,False,False,03/05/2025,False,,valid_range
