filing_id,politician,member_status,state_district,source_pdf,source_year,transaction_number_in_filing,owner,asset_v8_2_cleaned,asset_v8_1,ticker_v8_2_cleaned,ticker_v8_1,asset_type,transaction_type,transaction_date,notification_date,amount_min,amount_max,amount_exact,amount_category,amount_status,filing_status,subholding,location,description,comments,page,last_page,page_parse_method,page_recovery_used,filing_page_completeness_issue,suspected_missed_pages,page_continuation_used,duplicate_geometry_rows_merged,possible_adjacent_same_signature,row_shaded,geometry_quality_score,unicode_repair_applied,unicode_repair_count,needs_review,original_pdf_url,review_level,review_reason,owner_raw,asset_raw,asset_lookup_context,transaction_type_raw,transaction_date_raw,notification_date_raw,amount_raw,continuation_raw,detail_raw,review_reason_v8_1,review_level_v8_1,needs_review_v8_1,geometry_quality_score_v8_1,ticker_candidate_raw,ticker_parse_status,ticker_validation_source,ticker_changed,asset_changed_by_ticker_resolver,raw_date_has_extra_text,raw_date_prefix,date_prefix_disagrees,amount_exact_before_p2,amount_status_before_p2
20030475,Hon. Kelly Louise Morrison,Member,MN03,20030475.pdf,2025,1,,CHASKA MN ELEC REVENUE REF - SER A DTD 10/01/15,CHASKA MN ELEC REVENUE REF - SER A DTD 10/01/15,,,GS,P,2025-04-01,2025-05-06,1001.0,15000.0,,"$1,001 - $15,000",valid_range,Deleted,Trust 2,,Interest,,1,1,table,False,False,,False,0,False,False,100,True,30,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030475.pdf,,,,CHASKA MN ELEC REVENUE REF - SER A DTD 10/01/15 [GS] Filing Status: Deleted Subholding Of: Trust 2 Description: Interest,CHASKA MN ELEC REVENUE REF - SER A DTD 10/01/15 [GS],P,04/01/2025,05/06/2025,"$1,001 - $15,000",,"2000137338 CHASKA MN ELEC REVENUE REF - SER A DTD 10/01/15 [GS] P 04/01/2025 05/06/2025 $1,001 - $15,000 Filing Status: Deleted Subholding Of: Trust 2 Description: Interest",,,False,100,,not_applicable,,False,False,False,04/01/2025,False,,valid_range
20030475,Hon. Kelly Louise Morrison,Member,MN03,20030475.pdf,2025,2,,"Houlihan Lokey, Inc. Class A Common Stock","Houlihan Lokey, Inc. Class A Common Stock",HLI,HLI,ST,S,2025-06-04,2025-06-04,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Trust 5,,,,1,1,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030475.pdf,,,,"Houlihan Lokey, Inc. Class A Common Stock (HLI) [ST]","Houlihan Lokey, Inc. Class A Common Stock (HLI) [ST]",S,06/04/2025,06/04/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Trust 5,"Houlihan Lokey, Inc. Class A Common Stock (HLI) [ST] S 06/04/2025 06/04/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Trust 5",,,False,100,HLI,accepted,house_ptr_structure+v8_1,False,False,False,06/04/2025,False,,valid_range
20030475,Hon. Kelly Louise Morrison,Member,MN03,20030475.pdf,2025,3,,MINNESOTA ST MUNI PWR AGY ELEC DTD 08/25/16,MINNESOTA ST MUNI PWR AGY ELEC DTD 08/25/16,,,GS,P,2025-04-01,2025-05-06,1001.0,15000.0,,"$1,001 - $15,000",valid_range,Deleted,Trust 2,,Interest,,1,1,table,False,False,,False,0,False,False,100,True,30,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030475.pdf,,,,MINNESOTA ST MUNI PWR AGY ELEC DTD 08/25/16 [GS] Filing Status: Deleted Subholding Of: Trust 2 Description: Interest,MINNESOTA ST MUNI PWR AGY ELEC DTD 08/25/16 [GS],P,04/01/2025,05/06/2025,"$1,001 - $15,000",,"2000137339 MINNESOTA ST MUNI PWR AGY ELEC DTD 08/25/16 [GS] P 04/01/2025 05/06/2025 $1,001 - $15,000 Filing Status: Deleted Subholding Of: Trust 2 Description: Interest",,,False,100,,not_applicable,,False,False,False,04/01/2025,False,,valid_range
20030475,Hon. Kelly Louise Morrison,Member,MN03,20030475.pdf,2025,4,,"Nike, Inc. Common Stock","Nike, Inc. Common Stock",NKE,NKE,ST,S,2025-06-04,2025-06-04,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Trust 3,,,,1,1,table,False,False,,False,0,True,True,95,True,20,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030475.pdf,low,adjacent transaction has same core signature,,"Nike, Inc. Common Stock (NKE) [ST]","Nike, Inc. Common Stock (NKE) [ST]",S,06/04/2025,06/04/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Trust 3,"Nike, Inc. Common Stock (NKE) [ST] S 06/04/2025 06/04/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Trust 3",adjacent transaction has same core signature,low,True,95,NKE,accepted,house_ptr_structure+v8_1,False,False,False,06/04/2025,False,,valid_range
20030475,Hon. Kelly Louise Morrison,Member,MN03,20030475.pdf,2025,5,,"Nike, Inc. Common Stock","Nike, Inc. Common Stock",NKE,NKE,ST,S,2025-06-04,2025-06-04,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Trust 4,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030475.pdf,,,,"Nike, Inc. Common Stock (NKE) [ST] Filing Status: New Subholding Of: Trust 4","Nike, Inc. Common Stock (NKE) [ST]",S,06/04/2025,06/04/2025,"$1,001 - $15,000",,"Nike, Inc. Common Stock (NKE) [ST] S 06/04/2025 06/04/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Trust 4",,,False,100,NKE,accepted,house_ptr_structure+v8_1,False,False,False,06/04/2025,False,,valid_range
20030475,Hon. Kelly Louise Morrison,Member,MN03,20030475.pdf,2025,6,,ResMed Inc. Common Stock,ResMed Inc. Common Stock,RMD,RMD,ST,S,2025-06-04,2025-06-04,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Trust 4,,,,1,2,table,False,False,,True,0,True,True,93,True,20,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030475.pdf,low,adjacent transaction has same core signature,,ResMed Inc. Common Stock (RMD) [ST],ResMed Inc. Common Stock (RMD) [ST],S,06/04/2025,06/04/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Trust 4,"ResMed Inc. Common Stock (RMD) [ST] S 06/04/2025 06/04/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Trust 4",adjacent transaction has same core signature,low,True,93,RMD,accepted,house_ptr_structure+v8_1,False,False,False,06/04/2025,False,,valid_range
20030475,Hon. Kelly Louise Morrison,Member,MN03,20030475.pdf,2025,7,,ResMed Inc. Common Stock,ResMed Inc. Common Stock,RMD,RMD,ST,S,2025-06-04,2025-06-04,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Trust 5,,,,2,2,table,False,False,,False,0,True,False,95,True,20,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030475.pdf,low,adjacent transaction has same core signature,,ResMed Inc. Common Stock (RMD) [ST] Filing Status: New Subholding Of: Trust 5,ResMed Inc. Common Stock (RMD) [ST],S,06/04/2025,06/04/2025,"$1,001 - $15,000",,"ResMed Inc. Common Stock (RMD) [ST] S 06/04/2025 06/04/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Trust 5",adjacent transaction has same core signature,low,True,95,RMD,accepted,house_ptr_structure+v8_1,False,False,False,06/04/2025,False,,valid_range
20030475,Hon. Kelly Louise Morrison,Member,MN03,20030475.pdf,2025,8,,ResMed Inc. Common Stock,ResMed Inc. Common Stock,RMD,RMD,ST,S,2025-06-04,2025-06-04,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Trust 2,,,,2,2,table,False,False,,False,0,True,True,95,True,20,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030475.pdf,low,adjacent transaction has same core signature,,ResMed Inc. Common Stock (RMD) [ST],ResMed Inc. Common Stock (RMD) [ST],S,06/04/2025,06/04/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Trust 2,"ResMed Inc. Common Stock (RMD) [ST] S 06/04/2025 06/04/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Trust 2",adjacent transaction has same core signature,low,True,95,RMD,accepted,house_ptr_structure+v8_1,False,False,False,06/04/2025,False,,valid_range
20030475,Hon. Kelly Louise Morrison,Member,MN03,20030475.pdf,2025,9,,ResMed Inc. Common Stock,ResMed Inc. Common Stock,RMD,RMD,ST,S,2025-06-04,2025-06-04,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Trust 3,,,,2,2,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030475.pdf,,,,ResMed Inc. Common Stock (RMD) [ST] Filing Status: New Subholding Of: Trust 3,ResMed Inc. Common Stock (RMD) [ST],S,06/04/2025,06/04/2025,"$1,001 - $15,000",,"ResMed Inc. Common Stock (RMD) [ST] S 06/04/2025 06/04/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Trust 3",,,False,100,RMD,accepted,house_ptr_structure+v8_1,False,False,False,06/04/2025,False,,valid_range
20030475,Hon. Kelly Louise Morrison,Member,MN03,20030475.pdf,2025,10,,"United Parcel Service, Inc. Common Stock","United Parcel Service, Inc. Common Stock",UPS,UPS,ST,S,2025-06-04,2025-06-04,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Trust 2,,,,2,2,table,False,False,,False,0,True,True,95,True,20,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030475.pdf,low,adjacent transaction has same core signature,,"United Parcel Service, Inc. Common Stock (UPS) [ST]","United Parcel Service, Inc. Common Stock (UPS) [ST]",S,06/04/2025,06/04/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Trust 2,"United Parcel Service, Inc. Common Stock (UPS) [ST] S 06/04/2025 06/04/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Trust 2",adjacent transaction has same core signature,low,True,95,UPS,accepted,house_ptr_structure+v8_1,False,False,False,06/04/2025,False,,valid_range
