filing_id,politician,member_status,state_district,source_pdf,source_year,transaction_number_in_filing,owner,asset_v8_2_cleaned,asset_v8_1,ticker_v8_2_cleaned,ticker_v8_1,asset_type,transaction_type,transaction_date,notification_date,amount_min,amount_max,amount_exact,amount_category,amount_status,filing_status,subholding,location,description,comments,page,last_page,page_parse_method,page_recovery_used,filing_page_completeness_issue,suspected_missed_pages,page_continuation_used,duplicate_geometry_rows_merged,possible_adjacent_same_signature,row_shaded,geometry_quality_score,unicode_repair_applied,unicode_repair_count,needs_review,original_pdf_url,review_level,review_reason,owner_raw,asset_raw,asset_lookup_context,transaction_type_raw,transaction_date_raw,notification_date_raw,amount_raw,continuation_raw,detail_raw,review_reason_v8_1,review_level_v8_1,needs_review_v8_1,geometry_quality_score_v8_1,ticker_candidate_raw,ticker_parse_status,ticker_validation_source,ticker_changed,asset_changed_by_ticker_resolver,raw_date_has_extra_text,raw_date_prefix,date_prefix_disagrees
20026638,Hon. Kathy Manning,Member,NC06,20026638.pdf,2025,1,,Seven Bridges Emerging Markets Fund Series,Seven Bridges Emerging Markets Fund Series,,,HN,S,2024-12-31,2025-01-22,500001.0,1000000.0,,"$500,001 - $1,000,000",valid_range,New,Randall R. Kaplan Irrevocable GST FBO Kathy Manning & Descendants > Randall Robert Kaplan Alaska LLC,,Hedge fund. Fund manager letter on file with the Committee on Ethics.,,1,1,table,False,False,,False,0,False,False,100,True,30,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026638.pdf,,,,Seven Bridges Emerging Markets Fund Series [HN] Filing Status: New Subholding Of: Randall R. Kaplan Irrev LLC Description: Hedge fund. Fund manager,Seven Bridges Emerging Markets Fund Series [HN],S vocable GST FBO K r letter on file with,12/31/2024 Kathy Manning h the Committe,01/22/2025 g & Descendants > ee on Ethics.,"$500,001 - $1,000,000 > Randall Robert Kap",,"Seven Bridges Emerging Markets Fund Series [HN] S 12/31/2024 01/22/2025 $500,001 - $1,000,000 Filing Status: New Subholding Of: Randall R. Kaplan Irrevocable GST FBO Kathy Manning & Descendants > Randall Robert Kaplan Alaska LLC Description: Hedge fund. Fund manager letter on file with the Committee on Ethics.",,,False,100,,not_applicable,,False,False,True,12/31/2024,False
20026638,Hon. Kathy Manning,Member,NC06,20026638.pdf,2025,2,SP,Seven Bridges Emerging Markets Fund Series,Seven Bridges Emerging Markets Fund Series,,,HN,S,2024-12-31,2025-01-22,100001.0,250000.0,,"$100,001 - $250,000",valid_range,New,2021 Kathy E. Manning Irrevocable GST Trust FBO Randall R Kaplan & Descendants > Randall Robert Kaplan Alaska LLC,,,,1,1,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026638.pdf,,,SP,Seven Bridges Emerging Markets Fund Series [HN],Seven Bridges Emerging Markets Fund Series [HN],S,12/31/2024,01/22/2025,"$100,001 - $250,000",Filing Status: New Subholding Of: 2021 Kathy E. Manning Irrevocable GST Trust FBO Randall R Kaplan & Descendants > Randall Robert Kaplan Alaska LLC,"SP Seven Bridges Emerging Markets Fund Series [HN] S 12/31/2024 01/22/2025 $100,001 - $250,000 Filing Status: New Subholding Of: 2021 Kathy E. Manning Irrevocable GST Trust FBO Randall R Kaplan & Descendants > Randall Robert Kaplan Alaska LLC",,,False,100,,not_applicable,,False,False,False,12/31/2024,False
20026638,Hon. Kathy Manning,Member,NC06,20026638.pdf,2025,3,SP,Seven Bridges Long/Short Equity Fund Ltd.,Seven Bridges Long/Short Equity Fund Ltd.,,,HN,S (partial),2025-01-01,2025-01-22,15001.0,50000.0,,"$15,001 - $50,000",valid_range,New,RRK Charitable Trust U/A 11/28/00 #2,,Hedge Fund. Fund manager letter on file with the Committee on Ethics.,,1,1,table,False,False,,False,0,False,False,100,True,30,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026638.pdf,,,SP,Seven Bridges Long/Short Equity Fund Ltd. [HN] Filing Status: New Subholding Of: RRK Charitable Trust U Description: Hedge Fund. Fund manage,Seven Bridges Long/Short Equity Fund Ltd. [HN],S (partial) U/A 11/28/00 #2 er letter on file wit,01/01/2025 th the Committ,01/22/2025 tee on Ethics.,"$15,001 - $50,000",,"SP Seven Bridges Long/Short Equity Fund Ltd. [HN] S (partial) 01/01/2025 01/22/2025 $15,001 - $50,000 Filing Status: New Subholding Of: RRK Charitable Trust U/A 11/28/00 #2 Description: Hedge Fund. Fund manager letter on file with the Committee on Ethics.",,,False,100,,not_applicable,,False,False,True,01/01/2025,False
20026638,Hon. Kathy Manning,Member,NC06,20026638.pdf,2025,4,,Seven Bridges Long/Short Equity Fund Series,Seven Bridges Long/Short Equity Fund Series,,,HN,S (partial),2025-01-01,2025-01-22,50001.0,100000.0,,"$50,001 - $100,000",valid_range,New,Randall R. Kaplan Irrevocable GST FBO Kathy Manning & Descendants > Randall Robert Kaplan Alaska LLC,,Hedge fund. Fund manager letter on file with the Committee on Ethics.,,1,1,table,False,False,,False,0,False,True,100,True,30,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026638.pdf,,,,Seven Bridges Long/Short Equity Fund Series [HN],Seven Bridges Long/Short Equity Fund Series [HN],S (partial),01/01/2025,01/22/2025,"$50,001 - $100,000",Filing Status: New Subholding Of: Randall R. Kaplan Irrevocable GST FBO Kathy Manning & Descendants > Randall Robert Kaplan Alaska LLC Description: Hedge fund. Fund manager letter on file with the Committee on Ethics.,"Seven Bridges Long/Short Equity Fund Series [HN] S (partial) 01/01/2025 01/22/2025 $50,001 - $100,000 Filing Status: New Subholding Of: Randall R. Kaplan Irrevocable GST FBO Kathy Manning & Descendants > Randall Robert Kaplan Alaska LLC Description: Hedge fund. Fund manager letter on file with the Committee on Ethics.",,,False,100,,not_applicable,,False,False,False,01/01/2025,False
20026638,Hon. Kathy Manning,Member,NC06,20026638.pdf,2025,5,SP,Seven Bridges Long/Short Equity Fund Series,Seven Bridges Long/Short Equity Fund Series,,,HN,S (partial),2025-01-01,2025-01-22,15001.0,50000.0,,"$15,001 - $50,000",valid_range,New,2021 Kathy E. Manning Irrevocable GST Trust FBO Randall R Kaplan & Descendants > Randall Robert Kaplan Alaska LLC,,Hedge Fund. Fund manager letter on file with the Committee on Ethics.,,1,2,table,False,False,,True,0,False,False,98,True,30,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026638.pdf,,,SP,Seven Bridges Long/Short Equity Fund Series [HN] Filing Status: New Subholding Of: 2021 Kathy E. Manning,Seven Bridges Long/Short Equity Fund Series [HN] Kaplan Alaska LLC Description: Hedge Fund. Fund manager letter on file with the Committee on Ethics.,S (partial) Irrevocable GST,01/01/2025 Trust FBO Ran,01/22/2025 ndall R Kaplan & D,"$15,001 - $50,000 Descendants > Randa",Kaplan Alaska LLC Description: Hedge Fund. Fund manager letter on file with the Committee on Ethics.,"SP Seven Bridges Long/Short Equity Fund Series [HN] S (partial) 01/01/2025 01/22/2025 $15,001 - $50,000 Filing Status: New Subholding Of: 2021 Kathy E. Manning Irrevocable GST Trust FBO Randall R Kaplan & Descendants > Randall Robert Kaplan Alaska LLC Description: Hedge Fund. Fund manager letter on file with the Committee on Ethics.",,,False,98,,not_applicable,,False,False,True,01/01/2025,False
20026638,Hon. Kathy Manning,Member,NC06,20026638.pdf,2025,6,SP,Seven Bridges Multi-Strategy Fund Ltd.,Seven Bridges Multi-Strategy Fund Ltd.,,,HN,S (partial),2024-12-31,2025-01-22,100001.0,250000.0,,"$100,001 - $250,000",valid_range,New,RRK Charitable Trust U/A 11/28/00 #2,,Investment Company. Fund manager letter on file with the Committee on Ethics.,,2,2,table,False,False,,False,0,False,True,100,True,30,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026638.pdf,,,SP,Seven Bridges Multi-Strategy Fund Ltd. [HN],Seven Bridges Multi-Strategy Fund Ltd. [HN],S (partial),12/31/2024,01/22/2025,"$100,001 - $250,000",Filing Status: New Subholding Of: RRK Charitable Trust U/A 11/28/00 #2 Description: Investment Company. Fund manager letter on file with the Committee on Ethics.,"SP Seven Bridges Multi-Strategy Fund Ltd. [HN] S (partial) 12/31/2024 01/22/2025 $100,001 - $250,000 Filing Status: New Subholding Of: RRK Charitable Trust U/A 11/28/00 #2 Description: Investment Company. Fund manager letter on file with the Committee on Ethics.",,,False,100,,not_applicable,,False,False,False,12/31/2024,False
20026638,Hon. Kathy Manning,Member,NC06,20026638.pdf,2025,7,,Seven Bridges Strategic Equity Fund Series,Seven Bridges Strategic Equity Fund Series,,,HN,S,2024-12-31,2025-01-22,1000001.0,5000000.0,,"$1,000,001 - $5,000,000",valid_range,New,Randall R. Kaplan Irrevocable GST FBO Kathy Manning & Descendants > Randall Robert Kaplan Alaska LLC,,Hedge fund. Fund manager letter on file with the Committee on Ethics.,,2,2,table,False,False,,False,0,False,False,100,True,30,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026638.pdf,,,,Seven Bridges Strategic Equity Fund Series [HN] Filing Status: New Subholding Of: Randall R. Kaplan Irrev LLC Description: Hedge fund. Fund manager,Seven Bridges Strategic Equity Fund Series [HN],S vocable GST FBO K r letter on file with,12/31/2024 Kathy Manning h the Committe,01/22/2025 g & Descendants > ee on Ethics.,"$1,000,001 - $5,000,000 > Randall Robert Kap",,"Seven Bridges Strategic Equity Fund Series [HN] S 12/31/2024 01/22/2025 $1,000,001 - $5,000,000 Filing Status: New Subholding Of: Randall R. Kaplan Irrevocable GST FBO Kathy Manning & Descendants > Randall Robert Kaplan Alaska LLC Description: Hedge fund. Fund manager letter on file with the Committee on Ethics.",,,False,100,,not_applicable,,False,False,True,12/31/2024,False
20026638,Hon. Kathy Manning,Member,NC06,20026638.pdf,2025,8,SP,Seven Bridges Strategic Equity Fund Series,Seven Bridges Strategic Equity Fund Series,,,HN,S,2024-12-31,2025-01-22,250001.0,500000.0,,"$250,001 - $500,000",valid_range,New,2021 Kathy E. Manning Irrevocable GST Trust FBO Randall R Kaplan & Descendants > Randall Robert Kaplan Alaska LLC,,Hedge Fund. Fund manager letter on file with the Committee on Ethics.,,2,2,table,False,False,,False,0,False,True,100,True,30,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026638.pdf,,,SP,Seven Bridges Strategic Equity Fund Series [HN],Seven Bridges Strategic Equity Fund Series [HN],S,12/31/2024,01/22/2025,"$250,001 - $500,000",Filing Status: New Subholding Of: 2021 Kathy E. Manning Irrevocable GST Trust FBO Randall R Kaplan & Descendants > Randall Robert Kaplan Alaska LLC Description: Hedge Fund. Fund manager letter on file with the Committee on Ethics.,"SP Seven Bridges Strategic Equity Fund Series [HN] S 12/31/2024 01/22/2025 $250,001 - $500,000 Filing Status: New Subholding Of: 2021 Kathy E. Manning Irrevocable GST Trust FBO Randall R Kaplan & Descendants > Randall Robert Kaplan Alaska LLC Description: Hedge Fund. Fund manager letter on file with the Committee on Ethics.",,,False,100,,not_applicable,,False,False,False,12/31/2024,False
