filing_id,politician,member_status,state_district,source_pdf,source_year,transaction_number_in_filing,owner,asset_v8_2_cleaned,asset_v8_1,ticker_v8_2_cleaned,ticker_v8_1,asset_type,transaction_type,transaction_date,notification_date,amount_min,amount_max,amount_exact,amount_category,amount_status,filing_status,subholding,location,description,comments,page,last_page,page_parse_method,page_recovery_used,filing_page_completeness_issue,suspected_missed_pages,page_continuation_used,duplicate_geometry_rows_merged,possible_adjacent_same_signature,row_shaded,geometry_quality_score,unicode_repair_applied,unicode_repair_count,needs_review,original_pdf_url,review_level,review_reason,owner_raw,asset_raw,asset_lookup_context,transaction_type_raw,transaction_date_raw,notification_date_raw,amount_raw,continuation_raw,detail_raw,review_reason_v8_1,review_level_v8_1,needs_review_v8_1,geometry_quality_score_v8_1,ticker_candidate_raw,ticker_parse_status,ticker_validation_source,ticker_changed,asset_changed_by_ticker_resolver,raw_date_has_extra_text,raw_date_prefix,date_prefix_disagrees,amount_exact_before_p2,amount_status_before_p2
20026724,Hon. Gerald E. Connolly,Member,VA11,20026724.pdf,2025,1,JT,"Dominion Energy, Inc. Common Stock","Dominion Energy, Inc. Common Stock",D,D,ST,S (partial),2025-02-05,2025-02-05,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,TIAA Joint,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026724.pdf,,,JT,"Dominion Energy, Inc. Common Stock (D) [ST] Filing Status: New Subholding Of: TIAA Joint","Dominion Energy, Inc. Common Stock (D) [ST]",S (partial),02/05/2025,02/05/2025,"$1,001 - $15,000",,"JT Dominion Energy, Inc. Common Stock (D) [ST] S (partial) 02/05/2025 02/05/2025 $1,001 - $15,000 Filing Status: New Subholding Of: TIAA Joint",,,False,100,D,accepted,house_ptr_structure+v8_1,False,False,False,02/05/2025,False,,valid_range
20026724,Hon. Gerald E. Connolly,Member,VA11,20026724.pdf,2025,2,JT,"Leidos Holdings, Inc. Common Stock","Leidos Holdings, Inc. Common Stock",LDOS,LDOS,ST,S (partial),2025-02-05,2025-02-05,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,TIAA Joint,,,,1,1,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026724.pdf,,,JT,"Leidos Holdings, Inc. Common Stock (LDOS) [ST]","Leidos Holdings, Inc. Common Stock (LDOS) [ST]",S (partial),02/05/2025,02/05/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: TIAA Joint,"JT Leidos Holdings, Inc. Common Stock (LDOS) [ST] S (partial) 02/05/2025 02/05/2025 $1,001 - $15,000 Filing Status: New Subholding Of: TIAA Joint",,,False,100,LDOS,accepted,house_ptr_structure+v8_1,False,False,False,02/05/2025,False,,valid_range
20026724,Hon. Gerald E. Connolly,Member,VA11,20026724.pdf,2025,3,JT,Science Applications International Corporation - Common Stock,Science Applications International Corporation - Common Stock,SAIC,SAIC,ST,S (partial),2025-02-05,2025-02-05,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,TIAA Joint,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026724.pdf,,,JT,Science Applications International Corporation - Common Stock (SAIC) [ST] Filing Status: New Subholding Of: TIAA Joint,Science Applications International Corporation - Common Stock (SAIC) [ST],S (partial),02/05/2025,02/05/2025,"$1,001 - $15,000",,"JT Science Applications International Corporation - Common Stock (SAIC) [ST] S (partial) 02/05/2025 02/05/2025 $1,001 - $15,000 Filing Status: New Subholding Of: TIAA Joint",,,False,100,SAIC,accepted,house_ptr_structure+v8_1,False,False,False,02/05/2025,False,,valid_range
