filing_id,politician,member_status,state_district,source_pdf,source_year,transaction_number_in_filing,owner,asset_v8_2_cleaned,asset_v8_1,ticker_v8_2_cleaned,ticker_v8_1,asset_type,transaction_type,transaction_date,notification_date,amount_min,amount_max,amount_exact,amount_category,amount_status,filing_status,subholding,location,description,comments,page,last_page,page_parse_method,page_recovery_used,filing_page_completeness_issue,suspected_missed_pages,page_continuation_used,duplicate_geometry_rows_merged,possible_adjacent_same_signature,row_shaded,geometry_quality_score,unicode_repair_applied,unicode_repair_count,needs_review,original_pdf_url,review_level,review_reason,owner_raw,asset_raw,asset_lookup_context,transaction_type_raw,transaction_date_raw,notification_date_raw,amount_raw,continuation_raw,detail_raw,review_reason_v8_1,review_level_v8_1,needs_review_v8_1,geometry_quality_score_v8_1,ticker_candidate_raw,ticker_parse_status,ticker_validation_source,ticker_changed,asset_changed_by_ticker_resolver,raw_date_has_extra_text,raw_date_prefix,date_prefix_disagrees
20029092,Hon. Byron Donalds,Member,FL19,20029092.pdf,2025,1,,Abbott Laboratories Common Stock,Abbott Laboratories Common Stock,ABT,ABT,ST,P,2025-03-20,2025-04-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Moran Wealth IRA,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029092.pdf,,,,Abbott Laboratories Common Stock (ABT) [ST] Filing Status: New Subholding Of: Moran Wealth IRA,Abbott Laboratories Common Stock (ABT) [ST],P,03/20/2025,04/07/2025,"$1,001 - $15,000",,"Abbott Laboratories Common Stock (ABT) [ST] P 03/20/2025 04/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Moran Wealth IRA",,,False,100,ABT,accepted,house_ptr_structure+v8_1,False,False,False,03/20/2025,False
20029092,Hon. Byron Donalds,Member,FL19,20029092.pdf,2025,2,SP,Abbott Laboratories Common Stock,Abbott Laboratories Common Stock,ABT,ABT,ST,P,2025-03-20,2025-04-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Moran Wealth IRA,,,,1,1,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029092.pdf,,,SP,Abbott Laboratories Common Stock (ABT) [ST],Abbott Laboratories Common Stock (ABT) [ST],P,03/20/2025,04/07/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Moran Wealth IRA,"SP Abbott Laboratories Common Stock (ABT) [ST] P 03/20/2025 04/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Moran Wealth IRA",,,False,100,ABT,accepted,house_ptr_structure+v8_1,False,False,False,03/20/2025,False
20029092,Hon. Byron Donalds,Member,FL19,20029092.pdf,2025,3,SP,"Amazon.com, Inc. - Common Stock","Amazon.com, Inc. - Common Stock",AMZN,AMZN,ST,P,2025-03-20,2025-04-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Moran Wealth IRA,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029092.pdf,,,SP,"Amazon.com, Inc. - Common Stock (AMZN) [ST] Filing Status: New Subholding Of: Moran Wealth IRA","Amazon.com, Inc. - Common Stock (AMZN) [ST]",P,03/20/2025,04/07/2025,"$1,001 - $15,000",,"SP Amazon.com, Inc. - Common Stock (AMZN) [ST] P 03/20/2025 04/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Moran Wealth IRA",,,False,100,AMZN,accepted,house_ptr_structure+v8_1,False,False,False,03/20/2025,False
20029092,Hon. Byron Donalds,Member,FL19,20029092.pdf,2025,4,,"Amazon.com, Inc. - Common Stock","Amazon.com, Inc. - Common Stock",AMZN,AMZN,ST,P,2025-03-20,2025-04-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Moran Wealth IRA,,,,1,1,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029092.pdf,,,,"Amazon.com, Inc. - Common Stock (AMZN) [ST]","Amazon.com, Inc. - Common Stock (AMZN) [ST]",P,03/20/2025,04/07/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Moran Wealth IRA,"Amazon.com, Inc. - Common Stock (AMZN) [ST] P 03/20/2025 04/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Moran Wealth IRA",,,False,100,AMZN,accepted,house_ptr_structure+v8_1,False,False,False,03/20/2025,False
20029092,Hon. Byron Donalds,Member,FL19,20029092.pdf,2025,5,,"Arista Networks, Inc. Common Stock","Arista Networks, Inc. Common Stock",ANET,ANET,ST,P,2025-03-20,2025-04-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Moran Wealth IRA,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029092.pdf,,,,"Arista Networks, Inc. Common Stock (ANET) [ST] Filing Status: New Subholding Of: Moran Wealth IRA","Arista Networks, Inc. Common Stock (ANET) [ST]",P,03/20/2025,04/07/2025,"$1,001 - $15,000",,"Arista Networks, Inc. Common Stock (ANET) [ST] P 03/20/2025 04/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Moran Wealth IRA",,,False,100,ANET,accepted,house_ptr_structure+v8_1,False,False,False,03/20/2025,False
20029092,Hon. Byron Donalds,Member,FL19,20029092.pdf,2025,6,SP,"Arista Networks, Inc. Common Stock","Arista Networks, Inc. Common Stock",ANET,ANET,ST,P,2025-03-20,2025-04-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Moran Wealth IRA,,,,1,1,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029092.pdf,,,SP,"Arista Networks, Inc. Common Stock (ANET) [ST]","Arista Networks, Inc. Common Stock (ANET) [ST]",P,03/20/2025,04/07/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Moran Wealth IRA,"SP Arista Networks, Inc. Common Stock (ANET) [ST] P 03/20/2025 04/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Moran Wealth IRA",,,False,100,ANET,accepted,house_ptr_structure+v8_1,False,False,False,03/20/2025,False
20029092,Hon. Byron Donalds,Member,FL19,20029092.pdf,2025,7,,"Autodesk, Inc. - Common Stock","Autodesk, Inc. - Common Stock",ADSK,ADSK,ST,P,2025-03-20,2025-04-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Moran Wealth IRA,,,,2,2,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029092.pdf,,,,"Autodesk, Inc. - Common Stock (ADSK) [ST] Filing Status: New Subholding Of: Moran Wealth IRA","Autodesk, Inc. - Common Stock (ADSK) [ST]",P,03/20/2025,04/07/2025,"$1,001 - $15,000",,"Autodesk, Inc. - Common Stock (ADSK) [ST] P 03/20/2025 04/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Moran Wealth IRA",,,False,100,ADSK,accepted,house_ptr_structure+v8_1,False,False,False,03/20/2025,False
20029092,Hon. Byron Donalds,Member,FL19,20029092.pdf,2025,8,SP,"Autodesk, Inc. - Common Stock","Autodesk, Inc. - Common Stock",ADSK,ADSK,ST,P,2025-03-20,2025-04-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Moran Wealth IRA,,,,2,2,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029092.pdf,,,SP,"Autodesk, Inc. - Common Stock (ADSK) [ST]","Autodesk, Inc. - Common Stock (ADSK) [ST]",P,03/20/2025,04/07/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Moran Wealth IRA,"SP Autodesk, Inc. - Common Stock (ADSK) [ST] P 03/20/2025 04/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Moran Wealth IRA",,,False,100,ADSK,accepted,house_ptr_structure+v8_1,False,False,False,03/20/2025,False
20029092,Hon. Byron Donalds,Member,FL19,20029092.pdf,2025,9,SP,Broadcom Inc. - Common Stock,Broadcom Inc. - Common Stock,AVGO,AVGO,ST,P,2025-03-20,2025-04-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Moran Wealth IRA,,,,2,2,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029092.pdf,,,SP,Broadcom Inc. - Common Stock (AVGO) [ST] Filing Status: New Subholding Of: Moran Wealth IRA,Broadcom Inc. - Common Stock (AVGO) [ST],P,03/20/2025,04/07/2025,"$1,001 - $15,000",,"SP Broadcom Inc. - Common Stock (AVGO) [ST] P 03/20/2025 04/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Moran Wealth IRA",,,False,100,AVGO,accepted,house_ptr_structure+v8_1,False,False,False,03/20/2025,False
20029092,Hon. Byron Donalds,Member,FL19,20029092.pdf,2025,10,,Broadcom Inc. - Common Stock,Broadcom Inc. - Common Stock,AVGO,AVGO,ST,P,2025-03-20,2025-04-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Moran Wealth IRA,,,,2,2,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029092.pdf,,,,Broadcom Inc. - Common Stock (AVGO) [ST],Broadcom Inc. - Common Stock (AVGO) [ST],P,03/20/2025,04/07/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Moran Wealth IRA,"Broadcom Inc. - Common Stock (AVGO) [ST] P 03/20/2025 04/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Moran Wealth IRA",,,False,100,AVGO,accepted,house_ptr_structure+v8_1,False,False,False,03/20/2025,False
